"","Ac_No","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"4344",165279,19,1,2,"F","Single",246.9395067
"4345",158957,43,23,2,"F","Single",307.2698672
"4349",133354,22,5,2,"M","Married",615.4151608
"4351",164206,64,47,2,"M","Single",469.211976
"4352",125978,20,3,2,"M","Married",648.0153159
"4356",148948,64,45,2,"M","Single",552.5432092
"4358",102046,25,8,2,"M","Single",614.7198868
"4359",179527,22,4,2,"M","Married",420.0226607
"4363",145174,43,25,2,"M","Married",363.4525324
"4365",108633,49,32,2,"F","Married",319.2959212
"4366",128931,58,37,2,"M","Single",603.0673537
"4370",132002,18,0,2,"F","Married",189.7144759
"4372",119624,64,46,2,"M","Single",423.1791916
"4373",132759,22,3,2,"M","Married",1151.615653
"4377",168185,16,0,2,"F","Married",495.2585145
"4379",149450,47,26,2,"F","Married",379.0807708
"4380",181298,65,47,2,"F","Married",319.996219
"4384",144164,31,11,2,"F","Single",286.8740409
"4386",161076,58,37,2,"F","Married",135.8263113
"4387",190618,27,7,2,"M","Single",440.158269
"4391",160641,70,52,2,"M","Single",228.1268705
"4393",177828,44,27,2,"F","Single",405.1558956
"4394",173908,18,0,2,"M","Single",1071.895675
"4398",175068,20,3,2,"F","Single",681.5311064
"4400",179135,67,50,2,"M","Single",81.92175004
"4401",144030,17,0,2,"F","Married",132.3798915
"4405",103695,63,42,2,"F","Single",184.9471341
"4407",189263,54,34,2,"M","Married",308.8783677
"4408",110617,68,51,2,"M","Single",69.87144406
"4412",127251,62,41,2,"F","Married",294.4686241
"4414",191921,65,45,2,"F","Single",234.7325107
"4415",127602,16,0,2,"F","Single",639.3834022
"4419",171625,67,49,2,"F","Married",174.9818267
"4421",170128,20,1,2,"M","Married",565.7705528
"4422",101165,34,16,2,"F","Single",436.1101317
"4426",163563,29,10,2,"M","Married",322.1484453
"4428",162083,18,0,2,"M","Married",332.2094764
"4429",185536,23,6,2,"F","Married",261.7516407
"4433",148302,17,0,2,"M","Married",663.8869849
"4435",154679,46,29,2,"F","Single",404.0795519
"4436",153821,51,31,2,"F","Single",308.7935312
"4440",165484,44,25,2,"M","Married",341.1858165
"4442",146046,41,21,2,"F","Single",421.7293981
"4443",175149,70,50,2,"F","Single",390.0849495
"4447",188043,68,47,2,"F","Married",168.1164938
"4449",134676,46,29,2,"M","Single",535.2924095
"4450",110604,58,39,2,"M","Single",473.3205102
"4454",106413,60,41,2,"F","Single",296.6977344
"4456",113670,50,32,2,"M","Single",788.0825102
"4457",136995,65,45,2,"F","Married",174.7134006
"4461",108668,49,31,2,"M","Single",360.4891664
"4463",183569,69,51,2,"F","Single",54.54551587
"4464",164279,57,37,2,"M","Single",152.0623207
"4468",199174,25,7,2,"F","Single",857.9935307
"4470",139580,27,8,2,"M","Married",424.3758894
"4471",153050,47,26,2,"M","Married",357.0108591
"4475",141866,60,40,2,"M","Married",100.1397243
"4477",136782,25,6,2,"M","Single",981.002503
"4478",116143,42,23,2,"M","Single",461.4186021
"4482",143239,21,2,2,"M","Single",556.8865116
"4484",181569,63,45,2,"M","Married",74.96116919
"4485",120846,69,51,2,"F","Single",340.7535528
"4489",149670,16,0,2,"M","Married",396.9247136
"4491",172940,41,23,2,"M","Married",398.3501109
"4492",110194,19,2,2,"M","Married",244.748224
"4496",119461,39,22,2,"M","Married",267.2414317
"4498",113303,67,50,2,"F","Married",132.6744557
"4499",119743,20,3,2,"F","Single",496.3034295
"4503",177809,22,5,2,"F","Married",278.5209343
"4505",145650,40,19,2,"F","Married",380.4858605
"4506",181771,52,32,2,"M","Married",529.7386863
"4510",117028,22,3,2,"M","Married",194.0060904
"4512",128033,63,43,2,"F","Single",665.2165102
"4513",164819,32,11,2,"M","Married",370.4949476
"4517",143882,33,14,2,"M","Single",387.8970548
"4519",166336,36,18,2,"F","Single",477.2749712
"4520",188162,34,14,2,"F","Married",334.4126622
"4524",140119,64,43,2,"M","Married",213.5175971
"4526",104920,59,38,2,"M","Single",494.465162
"4527",101476,30,12,2,"M","Single",472.8663498
"4531",100174,67,49,2,"F","Single",455.5473483
"4533",150806,28,9,2,"F","Married",319.5596127
"4534",106273,31,10,2,"F","Married",312.4465176
"4538",183760,63,45,2,"M","Single",236.0096439
"4540",106322,17,0,2,"F","Married",163.4888262
"4541",171816,70,50,2,"M","Single",16.55863596
"4545",127747,53,33,2,"M","Single",490.6586864
"4547",112707,19,0,2,"F","Single",186.4975253
"4548",192402,51,33,2,"M","Single",525.1884374
"4552",118428,56,38,2,"M","Married",335.2309377
"4554",173538,22,5,2,"M","Married",574.688578
"4555",132425,20,1,2,"F","Single",329.4951415
"4559",167677,63,45,2,"M","Married",337.1433254
"4561",159180,23,5,2,"M","Single",709.7052299
"4562",123041,63,44,2,"M","Married",110.9730614
"4566",172144,53,33,2,"F","Single",325.810068
"4568",149488,53,33,2,"F","Married",296.877291
"4569",146724,62,43,2,"F","Married",98.25327356
"4573",169509,65,48,2,"M","Single",435.6436387
"4575",175375,19,2,2,"M","Single",1041.495458
"4576",116273,64,47,2,"M","Single",48.20137783
"4580",135471,56,36,2,"F","Married",227.967879
"4582",105456,16,0,2,"F","Single",412.5500186
"4583",167577,37,19,2,"F","Married",598.5651052
"4587",109240,33,16,2,"M","Single",635.3621555
"4589",129230,51,30,2,"F","Single",701.7325782
"4590",129584,24,7,2,"F","Single",623.1690893
"4594",134743,69,49,2,"M","Single",229.1536957
"4596",148191,65,48,2,"F","Single",111.3605932
"4597",139104,63,43,2,"F","Single",18.39388561
"4601",175752,66,49,2,"F","Married",231.7778468
"4603",186696,63,43,2,"F","Married",235.020936
"4604",131607,28,8,2,"F","Single",473.2256212
"4608",158249,38,20,2,"M","Married",513.4092655
"4610",144978,69,52,2,"M","Married",117.261906
"4611",106788,47,28,2,"M","Married",518.3633147
"4615",182370,31,14,2,"F","Single",429.6450408
"4617",183339,64,43,2,"F","Married",205.2059665
"4618",160704,64,45,2,"M","Single",358.3010608
"4622",164014,38,20,2,"F","Married",182.2446094
"4624",154024,33,12,2,"F","Single",237.228971
"4625",123118,17,0,2,"M","Single",1322.743329
"4629",109823,23,6,2,"F","Married",338.6778191
"4631",190133,18,0,2,"M","Single",463.2390525
"4632",131459,61,42,2,"M","Single",400.0163768
"4636",196152,43,23,2,"F","Single",141.6558586
"4638",172964,60,39,2,"F","Single",301.1482711
"4639",187693,23,4,2,"M","Married",551.8162587
"4643",168134,16,0,2,"F","Single",414.7386962
"4645",109392,68,50,2,"M","Single",86.40253407
"4646",114614,64,47,2,"F","Married",45.8953299
"4650",156634,27,8,2,"F","Single",685.5365484
"4652",176091,26,6,2,"M","Married",376.8354896
"4653",182799,42,22,2,"M","Single",756.6293924
"4657",144515,67,50,2,"M","Married",103.0383765
"4659",184719,34,16,2,"M","Single",443.5268424
"4660",198791,67,48,2,"M","Single",138.816053
"4664",135757,50,31,2,"F","Single",389.7354599
"4666",181139,21,4,2,"F","Single",715.6296193
"4667",150686,60,40,2,"F","Married",256.5214825
"4671",157860,52,35,2,"M","Married",488.2366164
"4673",199787,30,11,2,"M","Married",232.6932893
"4674",163134,68,49,2,"F","Single",130.1047303
"4678",193336,69,49,2,"F","Single",417.6620295
"4680",134297,56,36,2,"F","Married",309.7220679
"4681",196909,24,7,2,"F","Single",692.2309
"4685",156649,17,0,2,"M","Married",339.9900303
"4687",119043,16,0,2,"M","Single",1248.405899
"4688",188603,28,8,2,"F","Married",324.6162633
"4692",103107,22,4,2,"M","Single",1394.085068
"4694",135840,56,39,2,"F","Married",294.1870698
"4695",134804,33,14,2,"F","Married",278.7847833
"4699",124299,62,42,2,"M","Single",65.68530084
"4701",146923,58,39,2,"F","Single",428.8592904
"4702",144286,37,19,2,"F","Single",264.6726718
"4706",174163,26,7,2,"F","Single",639.34696
"4708",186676,39,22,2,"M","Married",365.1659112
"4709",101039,22,5,2,"M","Married",185.4327464
"4713",114603,16,0,2,"M","Single",475.5995397
"4715",178300,53,35,2,"F","Married",369.8709847
"4716",127564,68,48,2,"M","Single",300.270217
"4720",100467,68,51,2,"F","Single",177.9324401
"4722",157157,24,5,2,"F","Single",362.3409641
"4723",176476,17,0,2,"F","Married",432.9213332
"4727",138241,63,46,2,"M","Married",66.23357793
"4729",138683,17,0,2,"M","Married",553.8790435
"4730",180127,31,12,2,"F","Single",424.2943953
"4734",144840,22,5,2,"F","Married",235.5643519
"4736",116082,67,50,2,"F","Married",256.2403446
"4737",111243,31,14,2,"M","Single",293.3821636
"4741",179940,63,42,2,"M","Married",107.6584512
"4743",131794,21,2,2,"M","Single",917.9892784
"4744",100901,43,23,2,"M","Married",330.1191091
"4748",195119,19,0,2,"F","Married",290.1292949
"4750",110225,68,51,2,"M","Single",246.7727365
"4751",170144,20,1,2,"F","Married",181.1133935
"4755",115130,37,18,2,"F","Married",495.27612
"4757",183530,22,5,2,"M","Single",758.3316514
"4758",176701,67,46,2,"F","Married",222.2513137
"4762",137626,23,6,2,"F","Married",255.527599
"4764",129952,68,51,2,"M","Married",31.12221416
"4765",118320,67,48,2,"F","Single",23.17656269
"4769",162323,69,50,2,"M","Married",61.21346914
"4771",166127,16,0,2,"F","Married",304.3596949
"4772",194081,16,0,2,"F","Married",250.5357625
"4776",121660,61,43,2,"F","Married",252.4533935
"4778",144413,68,51,2,"M","Single",267.2097953
"4779",160670,30,13,2,"F","Married",481.0608707
"4783",132224,28,8,2,"F","Married",222.4028062
"4785",131410,62,41,2,"F","Single",102.6944895
"4786",196484,36,19,2,"F","Single",422.9126911
"4790",124596,46,26,2,"F","Single",691.5961948
"4792",161841,69,52,2,"M","Married",213.322691
"4793",126368,70,50,2,"M","Single",400.0748994
"4797",188652,23,4,2,"F","Married",343.544987
"4799",120755,21,2,2,"M","Single",1034.576892
"4800",147503,25,7,2,"F","Single",759.9206549
"4804",190665,29,9,2,"F","Single",454.4628239
"4806",100471,58,40,2,"F","Married",313.3115668
"4807",128105,26,5,2,"F","Single",743.8404236
"4811",165997,24,6,2,"M","Married",358.6754086
"4813",112888,37,16,2,"F","Married",331.1874007
"4814",108621,68,47,2,"F","Married",394.5895239
"4818",148672,61,44,2,"M","Single",182.8579739
"4820",131221,24,6,2,"M","Single",906.1379206
"4821",111950,65,47,2,"F","Married",151.1795166
"4825",167632,30,9,2,"M","Single",358.7909877
"4827",120448,69,52,2,"F","Married",78.00479255
"4828",167642,66,45,2,"M","Married",240.0206554
"4832",197916,19,0,2,"M","Married",369.0411629
"4834",185366,41,24,2,"M","Married",354.2510202
"4835",167963,39,22,2,"M","Married",448.20283
"4839",196919,18,1,2,"M","Married",260.0719096
"4841",187621,24,7,2,"F","Married",659.7952018
"4842",117381,70,53,2,"F","Married",154.7307542
"4846",186749,34,15,2,"M","Single",446.7676713
"4848",103113,69,49,2,"M","Single",283.4059068
"4849",150981,54,37,2,"F","Married",433.7988397
"4853",148352,33,16,2,"F","Single",182.0703443
"4855",100778,65,47,2,"M","Single",327.3019603
"4856",130843,55,34,2,"M","Single",898.5889774
"4860",161194,35,18,2,"M","Married",313.9556337
"4862",191325,67,50,2,"F","Married",84.28116303
"4863",109426,21,2,2,"M","Single",1238.855434
"4867",175464,39,22,2,"F","Single",380.2390255
"4869",177911,39,18,2,"F","Married",348.6496435
"4870",192798,40,20,2,"M","Married",467.6091343
"4874",162128,29,9,2,"F","Single",655.0052795
"4876",139691,26,6,2,"F","Single",346.6259326
"4877",151981,32,12,2,"F","Single",388.2892987
"4881",169826,18,0,2,"F","Married",217.1088822
"4883",186780,68,48,2,"F","Married",129.1156282
"4884",118207,35,18,2,"F","Single",481.8868022
"4888",143149,52,32,2,"F","Single",389.9110341
"4890",184934,36,17,2,"F","Single",368.6566367
"4891",131590,46,25,2,"F","Single",428.5202743
"4895",128056,17,0,2,"F","Single",811.6163512
"4897",106368,55,37,2,"F","Single",414.9357568
"4898",192750,26,7,2,"F","Married",300.8567133
"4902",134487,27,6,2,"M","Married",681.3895589
"4904",162938,28,7,2,"F","Married",334.5390852
"4905",186846,45,25,2,"F","Married",333.8893909
"4909",160398,29,8,2,"F","Single",691.0368252
"4911",135362,18,1,2,"M","Single",518.4613744
"4912",197116,23,6,2,"M","Single",778.4199705
"4916",160589,65,45,2,"F","Single",228.7047373
"4918",133911,47,29,2,"M","Married",353.1585726
"4919",165059,55,38,2,"M","Single",465.282525
"4923",184811,63,42,2,"M","Single",272.8974502
"4925",110528,29,8,2,"M","Single",757.7647701
"4926",110896,16,0,2,"F","Married",274.0220669
"4930",184387,17,0,2,"M","Single",765.6528906
"4932",127886,25,7,2,"M","Married",838.6878046
"4933",134777,31,13,2,"M","Single",436.1708524
"4937",170149,57,39,2,"M","Single",412.1684969
"4939",145730,18,1,2,"M","Married",434.4512132
"4940",193285,16,0,2,"M","Single",837.4157377
"4944",197475,62,44,2,"M","Single",592.2771478
"4946",130607,34,15,2,"M","Single",609.4384353
"4947",161857,67,48,2,"F","Married",29.94505399
"4951",190239,23,5,2,"F","Single",367.2975155
"4953",175808,49,30,2,"F","Married",443.2641355
"4954",170331,30,12,2,"M","Married",444.3293777
"4958",173044,23,4,2,"F","Married",469.9437156
"4960",162119,57,36,2,"F","Single",375.6861167
"4961",155679,66,47,2,"M","Single",89.95110132
"4965",149722,44,23,2,"F","Single",443.1036083
"4967",140588,70,49,2,"M","Married",321.0624448
"4968",113081,65,46,2,"F","Married",191.1909845
"4972",136204,41,21,2,"F","Single",411.9519695
"4974",195249,62,42,2,"M","Single",199.4172719
"4975",151980,50,29,2,"M","Single",450.7769182
"4979",127009,60,39,2,"F","Single",169.8270482
"4981",152720,25,8,2,"F","Married",327.7078753
"4982",149333,47,27,2,"F","Single",197.830166
"4986",113217,25,8,2,"M","Married",971.6615958
"4988",137052,68,48,2,"F","Married",85.80168233
"4989",102526,25,6,2,"M","Single",1136.769929
"4993",190671,27,8,2,"F","Single",144.3156563
"4995",128988,31,10,2,"F","Single",417.2227443
"4996",112680,36,17,2,"F","Single",377.2055573
"5000",100945,19,2,2,"M","Single",737.3161446
"5002",165262,49,32,2,"F","Single",191.5855411
"5003",118516,22,4,2,"M","Married",296.1653493
"5007",128541,30,13,2,"M","Married",332.1763765
"5009",196806,47,29,2,"F","Married",399.0874425
"5010",161680,17,0,2,"M","Married",569.9857577
"5014",172849,24,5,2,"M","Married",277.5433395
"5016",131621,52,32,2,"F","Married",486.4673105
"5017",179289,29,8,2,"F","Married",228.2340701
"5021",169299,51,33,2,"F","Single",419.7613
"5023",156994,55,38,2,"M","Single",813.3357101
"5024",181936,33,12,2,"F","Married",328.9200556
"5028",140043,20,2,2,"M","Married",215.3327311
"5030",124746,29,12,2,"M","Single",348.4339922
"5031",186293,52,32,2,"M","Single",462.983244
"5035",100764,66,49,2,"F","Married",57.5769928
"5037",184120,48,28,2,"F","Married",243.8562855
"5038",126383,52,31,2,"F","Married",345.4512548
"5042",101827,60,39,2,"F","Married",32.3286988
"5044",116173,16,0,2,"F","Married",397.9675903
"5045",185934,37,16,2,"F","Married",349.8526063
"5049",165149,70,53,2,"M","Married",157.8844554
"5051",142918,61,41,2,"M","Married",75.7535758
"5052",101981,62,44,2,"M","Married",37.8728243
"5056",128137,17,0,2,"F","Married",255.5687642
"5058",123069,19,0,2,"M","Single",927.3547156
"5059",123163,43,22,2,"F","Single",362.5033576
"5063",182801,19,0,2,"M","Married",285.96304
"5065",120503,48,27,2,"M","Married",408.8104413
"5066",175408,22,3,2,"F","Married",127.0787797
"5070",175815,20,1,2,"F","Single",1281.070759
"5072",151816,55,38,2,"M","Single",422.6259844
"5073",113795,44,23,2,"M","Married",700.8128781
"5077",198552,17,0,2,"M","Single",642.7209895
"5079",193972,56,36,2,"F","Single",133.8254731
"5080",129990,56,36,2,"M","Single",510.3591905
"5084",160639,68,50,2,"M","Married",164.8240283
"5086",137086,27,10,2,"F","Married",553.5448463
"5087",114082,16,0,2,"M","Single",702.1755846
"5091",195809,59,39,2,"M","Married",384.6369469
"5093",199262,19,2,2,"F","Married",483.7474678
"5094",139437,58,40,2,"F","Single",481.3603897
"5098",116153,31,10,2,"M","Single",629.8601463
"5100",160973,64,47,2,"F","Married",64.2533819
"5101",107987,60,42,2,"M","Single",579.1298354
"5105",154317,34,14,2,"F","Married",250.5664433
"5107",150600,61,43,2,"M","Single",163.6062869
"5108",127084,23,4,2,"M","Married",651.4601572
"5112",138354,61,44,2,"F","Married",58.570891
"5114",174772,16,0,2,"M","Single",508.5325412
"5115",170468,23,5,2,"M","Single",676.0622962
"5119",127246,37,19,2,"M","Single",532.6556978
"5121",152601,23,4,2,"F","Single",484.2424026
"5122",177143,19,1,2,"M","Single",764.2696764
"5126",173797,21,4,2,"F","Single",398.3864132
"5128",138293,27,6,2,"F","Single",387.6816898
"5129",158937,28,7,2,"F","Married",315.1065652
"5133",183731,24,6,2,"M","Married",502.3428123
"5135",100325,54,35,2,"M","Single",469.9318977
"5136",163995,45,25,2,"F","Married",643.1581009
"5140",106336,63,43,2,"F","Single",671.7035307
"5142",184850,51,31,2,"M","Single",294.7696212
"5143",142589,70,51,2,"F","Single",280.5294298
"5147",159996,60,40,2,"F","Married",35.8098218
"5149",182077,26,6,2,"M","Single",171.2690932
"5150",178899,53,34,2,"F","Single",328.2917116
"5154",138357,27,7,2,"M","Married",223.1738865
"5156",171408,61,42,2,"F","Single",209.1193573
"5157",105262,36,15,2,"F","Single",442.328608
"5161",179667,29,11,2,"F","Married",327.1132464
"5163",153857,35,14,2,"M","Married",384.541988
"5164",147067,65,47,2,"M","Single",48.42269189
"5168",116818,22,3,2,"M","Single",628.6636366
"5170",169292,22,5,2,"F","Single",528.072594
"5171",110496,59,40,2,"M","Single",918.2602107
"5175",179803,43,26,2,"F","Married",600.5002692
"5177",180651,66,49,2,"M","Single",233.0582785
"5178",146753,24,7,2,"F","Married",200.0278653
"5182",158104,32,13,2,"M","Married",575.7807875
"5184",175384,63,46,2,"F","Married",244.4837712
"5185",164309,18,0,2,"F","Married",396.5146413
"5189",131813,16,0,2,"F","Single",451.9667081
"5191",196942,64,45,2,"M","Single",225.0781285
"5192",100466,60,39,2,"M","Married",276.6664704
"5196",114617,63,44,2,"M","Married",132.314349
"5198",133406,70,53,2,"M","Married",219.9071599
"5199",138165,53,33,2,"F","Single",514.7171097
"5203",197762,62,45,2,"F","Single",360.3568235
"5205",190999,66,48,2,"M","Single",427.8914224
"5206",146882,61,42,2,"M","Married",276.0410019
"5210",134300,61,40,2,"F","Single",753.3058236
"5212",188142,65,45,2,"F","Single",318.5919676
"5213",175941,60,41,2,"M","Single",495.8744707
"5217",110215,21,3,2,"F","Single",315.7115233
"5219",109605,32,12,2,"F","Married",306.6404225
"5220",178579,19,2,2,"F","Married",301.062505
"5224",120034,22,3,2,"M","Married",518.8089458
"5226",107878,26,5,2,"F","Married",561.2020227
"5227",167117,62,44,2,"F","Single",177.0450044
"5231",145778,42,21,2,"M","Single",426.2098135
"5233",119020,20,2,2,"F","Married",283.0697002
"5234",112294,24,7,2,"F","Single",808.6426951
"5238",126462,18,1,2,"M","Married",418.9755266
"5240",138642,37,19,2,"M","Married",309.8817858
"5241",123616,19,0,2,"M","Single",470.3204577
"5245",166319,66,46,2,"F","Married",243.5328737
"5247",196644,28,7,2,"F","Single",482.6396475
"5248",192027,66,45,2,"M","Single",80.11881426
"5252",192266,46,29,2,"M","Married",382.9371189
"5254",125914,68,48,2,"M","Married",32.80356503
"5255",189401,61,43,2,"F","Single",165.6591786
"5259",148119,65,48,2,"M","Married",247.0451395
"5261",130906,63,43,2,"F","Married",89.54089032
"5262",149898,31,11,2,"F","Married",431.0282312
"5266",118752,42,24,2,"M","Single",483.9802141
"5268",144394,17,0,2,"F","Single",384.8647472
"5269",170153,59,41,2,"F","Single",411.8978325
"5273",170068,34,16,2,"M","Married",234.1258388
"5275",146423,19,0,2,"F","Single",233.2412985
"5276",159500,60,39,2,"F","Single",71.51716314
"5280",161762,65,45,2,"M","Married",55.87164916
"5282",156424,66,46,2,"M","Single",216.9776741
"5283",105815,17,0,2,"F","Married",676.4310376
"5287",162111,65,44,2,"M","Single",116.8334234
"5289",193489,62,45,2,"M","Single",39.28796041
"5290",173463,52,35,2,"F","Married",504.5877345
"5294",147580,52,32,2,"M","Single",261.9109882
"5296",133197,68,50,2,"F","Single",337.3376026
"5297",143747,17,0,2,"F","Single",343.6331572
"5301",173702,56,36,2,"M","Married",679.1324761
"5303",102197,63,44,2,"M","Single",187.1632252
"5304",193474,16,0,2,"M","Married",264.5211779
"5308",102993,20,1,2,"M","Single",381.605109
"5310",114514,25,8,2,"M","Married",225.4093546
"5311",104652,55,38,2,"F","Single",167.5431667
"5315",120466,61,43,2,"M","Single",376.9877925
"5317",199916,23,6,2,"F","Married",317.6692411
"5318",101441,23,4,2,"M","Married",212.3423871
"5322",191814,52,33,2,"F","Married",297.4858939
"5324",163118,48,30,2,"F","Married",162.4063403
"5325",138952,66,47,2,"M","Single",259.4806222
"5329",178649,39,18,2,"M","Married",343.8099988
"5331",136134,23,4,2,"F","Single",607.7779773
"5332",144698,67,48,2,"M","Married",208.0302662
"5336",122374,60,42,2,"F","Single",404.5349121
"5338",144906,37,20,2,"M","Single",496.0066722
"5339",122973,27,7,2,"M","Married",456.406225
"5343",192969,28,10,2,"M","Single",738.3157306
"5345",156939,61,41,2,"F","Single",85.48223065
"5346",176585,47,29,2,"M","Married",352.7070831
"5350",149552,46,29,2,"M","Single",734.9538041
"5352",178298,60,43,2,"F","Single",118.4561493
"5353",183606,70,49,2,"M","Single",364.0376773
"5357",177247,27,6,2,"F","Married",319.3783999
"5359",110063,22,5,2,"M","Single",1162.288811
"5360",101870,64,47,2,"M","Married",244.6449144
"5364",160902,18,1,2,"F","Single",456.0412087
"5366",127415,58,40,2,"F","Single",559.5844128
"5367",181619,25,7,2,"F","Married",142.6101548
"5371",117277,62,43,2,"F","Married",142.728526
"5373",122697,56,38,2,"F","Single",442.2016245
"5374",188418,18,0,2,"M","Married",458.1821405
"5378",146036,54,33,2,"M","Single",353.9874896
"5380",184774,51,34,2,"M","Single",664.7626221
"5381",114288,33,15,2,"M","Married",200.5543237
"5385",176827,29,9,2,"F","Married",294.0604321
"5387",167211,49,31,2,"F","Single",207.7780178
"5388",191205,44,25,2,"F","Single",378.2642892
"5392",196991,58,37,2,"F","Married",300.0849615
"5394",150881,66,45,2,"F","Single",101.9951459
"5395",164823,17,0,2,"M","Married",205.9999473
"5399",122075,20,2,2,"F","Single",476.0955866
"5401",168485,49,31,2,"M","Single",451.8193288
"5402",162503,18,0,2,"F","Married",458.5047008
"5406",127059,34,16,2,"M","Married",343.7377114
"5408",131564,46,26,2,"F","Single",485.6433513
"5409",182612,63,43,2,"M","Married",329.0603972
"5413",110817,59,42,2,"F","Single",298.5194061
"5415",155317,22,4,2,"F","Married",370.5457414
"5416",146987,24,5,2,"F","Married",499.1907587
"5420",151843,68,50,2,"M","Single",83.85243398
"5422",176019,64,45,2,"F","Married",99.51138783
"5423",175330,16,0,2,"F","Married",243.3503986
"5427",130757,21,3,2,"F","Single",531.3488591
"5429",166622,43,26,2,"M","Married",681.7282118
"5430",119397,67,50,2,"M","Married",219.1167835
"5434",117553,63,43,2,"F","Married",51.5165782
"5436",117822,20,1,2,"F","Single",488.2861253
"5437",101967,53,33,2,"M","Married",401.3555902
"5441",196394,27,7,2,"F","Married",153.7026157
"5443",158716,66,49,2,"M","Single",277.6940932
"5444",144994,25,7,2,"M","Married",496.8511596
"5448",155152,63,46,2,"M","Single",44.94946668
"5450",103240,56,35,2,"M","Married",374.6621594
"5451",189797,54,33,2,"M","Single",435.0601621
"5455",100482,16,0,2,"M","Single",1162.650269
"5457",172799,63,46,2,"M","Married",93.90273659
"5458",102623,21,4,2,"M","Married",266.2417314
"5462",101829,67,46,2,"M","Single",215.2318603
"5464",145644,53,36,2,"M","Single",179.5108887
"5465",171326,23,6,2,"F","Single",599.3552457
"5469",134161,65,44,2,"F","Married",185.8110244
"5471",150986,31,12,2,"F","Single",324.1258041
"5472",124766,17,0,2,"M","Single",632.4444462
"5476",124322,63,44,2,"F","Married",44.41811572
"5478",182495,52,32,2,"M","Married",433.9690892
"5479",168025,18,0,2,"F","Single",580.2211714
"5483",117039,17,0,2,"M","Single",1033.629031
"5485",137671,19,2,2,"M","Single",855.3519575
"5486",190923,26,5,2,"M","Married",571.5603593
"5490",173901,23,4,2,"F","Single",245.9475767
"5492",103121,70,49,2,"M","Single",174.5438715
"5493",173004,29,12,2,"M","Married",398.5699075
"5497",133166,63,42,2,"M","Single",242.6317197
"5499",110870,64,45,2,"M","Married",148.8621741
"5500",152294,40,23,2,"M","Single",452.0526951
"5504",137739,62,43,2,"M","Married",450.9282755
"5506",112447,63,42,2,"M","Single",60.43868173
"5507",164586,69,52,2,"F","Single",19.1986151
"5511",163029,69,50,2,"M","Married",65.30246234
"5513",169530,20,1,2,"M","Married",684.3776358
"5514",174898,55,37,2,"F","Single",710.6913874
"5518",165636,66,47,2,"F","Single",127.9202249
"5520",127853,42,23,2,"M","Single",390.9589293
"5521",113416,25,6,2,"F","Single",659.5723022
"5525",107859,69,51,2,"M","Single",459.7043208
"5527",152002,66,49,2,"M","Married",291.4064942
"5528",148397,19,1,2,"M","Single",1178.477467
"5532",146672,19,1,2,"F","Married",137.9957896
"5534",163736,33,14,2,"F","Married",591.5242872
"5535",149113,18,0,2,"F","Married",144.2135895
"5539",135563,49,28,2,"M","Married",379.0701103
"5541",132446,16,0,2,"M","Single",460.8457793
"5542",171500,18,0,2,"M","Married",392.6845652
"5546",144999,64,47,2,"M","Single",375.5132962
"5548",106548,60,42,2,"F","Single",304.7559646
"5549",105932,45,26,2,"M","Married",671.7997427
"5553",159012,60,41,2,"M","Married",216.0407596
"5555",122640,40,22,2,"M","Single",644.0822542
"5556",166875,35,18,2,"M","Single",511.3257622
"5560",176651,54,36,2,"M","Married",304.0070767
"5562",141793,16,0,2,"M","Single",400.9965388
"5563",125427,42,22,2,"M","Single",841.2897521
"5567",199870,26,5,2,"F","Married",200.4837906
"5569",164286,38,20,2,"M","Single",301.8672605
"5570",125989,39,22,2,"F","Single",443.5045498
"5574",138509,69,52,2,"M","Single",93.95705645
"5576",174852,63,45,2,"M","Married",244.1756341
"5577",135846,16,0,2,"M","Married",530.021191
"5581",177425,51,32,2,"F","Single",622.8166758
"5583",159782,23,4,2,"F","Married",172.9344638
"5584",131408,69,51,2,"M","Single",408.3617678
"5588",169030,21,2,2,"M","Single",504.8449361
"5590",152506,24,7,2,"F","Single",572.3978778
"5591",141606,40,20,2,"F","Married",314.6769002
"5595",174916,69,50,2,"F","Single",160.4764846
"5597",182273,40,20,2,"M","Married",495.4931261
"5598",141436,20,3,2,"M","Married",502.4378501
"5602",144976,23,5,2,"M","Single",544.8236918
"5604",145739,60,39,2,"M","Single",303.7258336
"5605",170432,21,4,2,"M","Married",473.9589177
"5609",161025,38,17,2,"F","Married",207.145874
"5611",184416,52,34,2,"M","Married",367.5651389
"5612",198408,22,3,2,"M","Married",513.8630957
"5616",177263,36,16,2,"M","Married",233.2750792
"5618",113027,52,32,2,"F","Married",517.9428444
"5619",161340,51,33,2,"M","Married",341.7148314
"5623",165865,66,48,2,"M","Married",65.19885583
"5625",108024,55,35,2,"M","Single",408.31942
"5626",191789,40,19,2,"F","Married",430.571871
"5630",191962,41,24,2,"F","Single",283.9643354
"5632",187667,21,4,2,"F","Single",519.3587409
"5633",165622,46,26,2,"M","Single",484.2038417
"5637",131981,62,45,2,"M","Married",230.7990564
"5639",117379,55,36,2,"F","Single",351.7866849
"5640",138063,21,2,2,"M","Single",981.3483733
"5644",130143,31,14,2,"M","Married",320.0112652
"5646",105197,70,53,2,"M","Single",18.61774917
